"Parameter","Forrester","Noelte.dynamicPhenology","Noelte.constantPhenology","Marc"
"pFS2",0.433,0.517,0.521,1.122
"pFS20",0.035,0.555,0.526,0.031
"aWs",0.094,0.139,0.139,0.105
"nWS",2.507,2.42,2.42,2.51
"pRx",0.2829,0.4,0.4,0.296
"pRn",0.1541,0.3,0.3,0.108
"gammaF1",0,0,0,0
"gammaF0",0,0,0,0
"tgammaF",0,0,0,0
"gammaR",0.001,0.015,0.015,0.00098
"leafgrow",4,0,5,4
"leaffall",10,0,11,10
"Tmin",4.3827,0,0,-0.334
"Tmax",35.9017,40,40,37.814
"Topt",22.5405,30,30,18.557
"fCalpha700",1.0739,1,1,1.287
"fCg700",0.8753,1,1,0.724
"m0",0,0,0,0
"fN0",0.6,0.5,0.5,0.6
"fNn",1,1,1,1
"MaxAge",725,300,300,725
"rAge",4,4,4,4
"nAge",0.95,0.95,0.95,0.95
"gammaN1",0,0.1,0.1,0
"gammaN0",0,2.4,2.4,0
"tgammaN",0,35,35,0
"ngammaN",1,1,1,1
"wSx1000",158.1916,225,225,160.565
"thinPower",1.5916,1.5,1.5,1.67
"mF",0.446,0,0,0.446
"mR",0.409,0.2,0.2,0.409
"mS",0.376,0.2,0.2,0.376
"SLA0",8,0,0,9
"SLA1",6,14.8,14.8,6
"tSLA",7.35,0,0,7.35
"k",0.5952,0.5,0.5,0.497
"fullCanAge",3,0,0,3
"MaxIntcptn",0.1713,0.15,0.15,0.18
"LAImaxIntcptn",3,0,0,4
"alphaCx",0.0409,0.048,0.053,0.042
"y",0.47,0.47,0.47,0.47
"CoeffCond",0.0473,0.05,0.05,0.046
"MinCond",0,0.001,0.001,0
"MaxCond",0.025,0.012,0.012,0.02
"BLCond",0.2,0.2,0.2,0.2
"LAIgcx",4,3.3,3.3,4
"fracBB0",0,0.6,0.6,0
"fracBB1",0,0.15,0.15,0
"tBB",0,60,60,0
"rho0",0.59,0,0,0.59
"rho1",0.59,0.4,0.4,0.59
"tRho",1,0,0,1
"aH",39.46,1.31,1.31,39.46
"nHB",16.37,0.691,0.691,16.37
"nHC",0,0.1,0.1,0
"aV",3.1e-05,0,0,3.1e-05
"nVB",2,0,0,2
"nVH",1.05,0,0,1.05
"gammaN0attack",0,0,0,0
"attackAge",0,0,0,0
"attackTime",0,0,0,0
"leafout_i",0,162.76,0,0
"leafout_s",0,4.54,0,0
"leafout_p",0,20,0,0
"leaffall_i",0,262.88,0,0
"leaffall_s",0,3.046,0,0
"leaffall_p",0,1,0,0
